eurostat_country_code,fao_area_code,Country_name,Climatic_zone1,Climatic_zone1_pct,Agreena_crop_english_name,Agreena_crop_ID,Agreena_crop_IDENTIFIER,Agreena_crop_year,Agreena_crop_methodology,coolfarm_id,coolfarm_name,es_crop_name,fao_crop_name,yield_avg,yield_min,yield_max,yield_sd,source,Agreena_crop_name
AL,3,Albania,Warm temperate moist,0.52,Sugar beets,125,SUGAR-BEETS,NA,NA,30,Other tuber crop,Sugar beet (excluding seed),Sugar beet,35.1375,30.4,39.1,3.338065093947176,eurostat (imputed),SUGAR-BEETS
AL,3,Albania,Warm temperate moist,0.52,Sunflower,130,SUNFLOWER,2022,2,35,Rapeseed,Sunflower seed,Sunflower seed,2.365,2.11,2.8,0.2770765752845747,eurostat (imputed),SUNFLOWER
AL,3,Albania,Warm temperate moist,0.52,Sunflower (seed harvest),274,SUNFLOWER-SEED-HARVEST,2023,2,35,Rapeseed,Sunflower seed,Sunflower seed,2.365,2.11,2.8,0.2770765752845747,eurostat (imputed),SUNFLOWER-SEED-HARVEST
AL,3,Albania,Warm temperate moist,0.52,Tomato,35,TOMATO,NA,NA,21,Tomato,use FAO,Tomatoes,43.5106875,37.1844,46.9884,3.066057980272529,fao (imputed),TOMATO
AL,3,Albania,Warm temperate moist,0.52,"Triticale, Spring (forage harvest)",259,TRITICALE-SPRING-FORAGE-HARVEST,NA,NA,16,Rye,Other cereals harvested green (excluding green maize),use eurostat,13.0125,11.1,14.6,1.341041705966991,eurostat (imputed),TRITICALE-SPRING-FORAGE-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Triticale, Winter (forage harvest)",197,TRITICALE-WINTER-FORAGE-HARVEST,2023,2,16,Rye,Other cereals harvested green (excluding green maize),use eurostat,13.0125,11.1,14.6,1.341041705966991,eurostat (imputed),TRITICALE-WINTER-FORAGE-HARVEST
AL,3,Albania,Warm temperate moist,0.52,Vegetable,37,VEGETABLE,NA,NA,23,Vegetable,Fresh vegetables (including melons) and strawberries,Vegetables Primary,27.24975,23.3766,29.1563,1.938892897653563,fao (imputed),VEGETABLE
AL,3,Albania,Warm temperate moist,0.52,"Vetch, (seed harvest)",278,VETCH-SEED-HARVEST,2023,2,4,Clover,use FAO,Vetches,0.3075875,0.2969,0.3102,0.004446648015238953,fao (imputed),VETCH-SEED-HARVEST
AL,3,Albania,Warm temperate moist,0.52,Wheat,38,WHEAT,NA,NA,24,Winter wheat,Common winter wheat and spelt,use eurostat,3.6125,1.79,4.33,0.8162413858657254,eurostat (imputed),WHEAT
AL,3,Albania,Warm temperate moist,0.52,"Wheat, Spelt (grain harvest)",261,WHEAT-SPELT-GRAIN-HARVEST,2023,2,24,Winter wheat,Common winter wheat and spelt,use eurostat,3.6125,1.79,4.33,0.8162413858657254,eurostat (imputed),WHEAT-SPELT-GRAIN-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Wheat, Spring (forage harvest)",262,WHEAT-SPRING-FORAGE-HARVEST,2023,2,19,Spring wheat,Other cereals harvested green (excluding green maize),use eurostat,13.0125,11.1,14.6,1.341041705966991,eurostat (imputed),WHEAT-SPRING-FORAGE-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Wheat, Spring (grain harvest)",263,WHEAT-SPRING-GRAIN-HARVEST,2023,2,19,Spring wheat,Common spring wheat and spelt,use eurostat,5.6125,4.77,6.29,0.4983329351806023,CZ estimate Eurostat,WHEAT-SPRING-GRAIN-HARVEST
AL,3,Albania,Warm temperate moist,0.52,"Wheat, Winter (forage harvest)",199,WHEAT-WINTER-FORAGE-HARVEST,2023,2,24,Winter wheat,Other cereals harvested green (excluding green maize),use eurostat,13.0125,11.1,14.6,1.341041705966991,eurostat (imputed),WHEAT-WINTER-FORAGE-HARVEST
AL,3,Albania,Warm temperate moist,0.52,Winter barley,127,WINTER-BARLEY,NA,NA,3,Barley,Winter barley,use eurostat,3.0275,2.76,3.51,0.2631539473388153,eurostat (imputed),WINTER-BARLEY
AL,3,Albania,Warm temperate moist,0.52,"Wheat, Winter (grain harvest)",144,WINTER-WHEAT,2023,2,24,Winter wheat,Common winter wheat and spelt,use eurostat,3.6125,1.79,4.33,0.8162413858657254,eurostat (imputed),WINTER-WHEAT
AU,10,Australia,NA,NA,Alfalfa (forage harvest),145,ALFALFA,2023,2,1,Alfalfa,Lucerne,use eurostat,12.59734375,1.65,44.8,2.164647534965545,CZ estimate Eurostat,ALFALFA
AU,10,Australia,NA,NA,Apple,2,APPLE,NA,NA,2,Apple,use FAO,Apples,15.9499875,15.931,15.9707,0.0159463777794748,fao (imputed),APPLE
AU,10,Australia,NA,NA,"Barley, Spring (forage harvest)",142,BARLEY,2023,2,3,Barley,Other cereals harvested green (excluding green maize),use eurostat,14.438515625,0,41.6,3.28138351324352,CZ estimate Eurostat,BARLEY
AU,10,Australia,NA,NA,"Barley, Spring (grain harvest)",180,BARLEY-SPRING-GRAIN-HARVEST,2023,2,3,Barley,Spring barley,use eurostat,4.455902777777778,1.72,7.91,0.5415446669805304,CZ estimate Eurostat,BARLEY-SPRING-GRAIN-HARVEST
AU,10,Australia,NA,NA,"Barley, Winter (forage harvest)",181,BARLEY-WINTER-FORAGE-HARVEST,2023,2,3,Barley,Other cereals harvested green (excluding green maize),use eurostat,14.438515625,0,41.6,3.28138351324352,CZ estimate Eurostat,BARLEY-WINTER-FORAGE-HARVEST
AU,10,Australia,NA,NA,"Barley, Winter (grain harvest)",182,BARLEY-WINTER-GRAIN-HARVEST,2023,2,3,Barley,Winter barley,use eurostat,4.838125,0.21,8.83,0.5598606694873041,CZ estimate Eurostat,BARLEY-WINTER-GRAIN-HARVEST
AU,10,Australia,NA,NA,"Bean, Dry (forage harvest)",242,BEAN-DRY-FORAGE-HARVEST,2023,2,7,Dry bean,Other leguminous plants harvested green n.e.c.,use eurostat,7.602265625,0.4,20.6,1.569543367833647,CZ estimate Eurostat,BEAN-DRY-FORAGE-HARVEST
AU,10,Australia,NA,NA,"Bean, Fava, Spring (forage harvest)",183,BEAN-FAVA-FORAGE-HARVEST,2023,2,7,Dry bean,Other leguminous plants harvested green n.e.c.,use eurostat,7.602265625,0.4,20.6,1.569543367833647,CZ estimate Eurostat,BEAN-FAVA-FORAGE-HARVEST
AU,10,Australia,NA,NA,"Bean, Fava, Spring (seed harvest)",184,BEAN-FAVA-SEED-HARVEST,2023,2,7,Dry bean,use FAO,"Broad beans and horse beans, dry",1.606125,0.9976,2.1545,0.4227008795489177,fao (imputed),BEAN-FAVA-SEED-HARVEST
AU,10,Australia,NA,NA,"Bean, Fava, Winter (forage harvest)",185,BEAN-FAVA-WINTER-FORAGE-HARVEST,2023,2,7,Dry bean,Other leguminous plants harvested green n.e.c.,use eurostat,7.602265625,0.4,20.6,1.569543367833647,CZ estimate Eurostat,BEAN-FAVA-WINTER-FORAGE-HARVEST
AU,10,Australia,NA,NA,"Bean, Fava, Winter (seed harvest)",186,BEAN-FAVA-WINTER-SEED-HARVEST,2023,2,7,Dry bean,use FAO,"Broad beans and horse beans, dry",1.606125,0.9976,2.1545,0.4227008795489177,fao (imputed),BEAN-FAVA-WINTER-SEED-HARVEST
AU,10,Australia,NA,NA,"Bean, Mung (forage harvest)",201,BEAN-MUNG-FORAGE-HARVEST,NA,NA,7,Dry bean,Other leguminous plants harvested green n.e.c.,use eurostat,7.602265625,0.4,20.6,1.569543367833647,CZ estimate Eurostat,BEAN-MUNG-FORAGE-HARVEST
AU,10,Australia,NA,NA,"Bean, Mung (seed harvest)",202,BEAN-MUNG-SEED-HARVEST,NA,NA,7,Dry bean,Broad and field beans,"Beans, dry",1.2947625,0.9034,2.2155,0.4400598983174255,fao (imputed),BEAN-MUNG-SEED-HARVEST
AU,10,Australia,NA,NA,"Beet, Fodder (root harvest)",203,BEET-FODDER-ROOT-HARVEST,2023,2,30,Other tuber crop,use FAO,"Roots and Tubers, Total",39.4956625,37.8085,40.2901,0.7925749697527492,fao (imputed),BEET-FODDER-ROOT-HARVEST
AU,10,Australia,NA,NA,Beetroot (root harvest),207,BEETROOT-ROOT-HARVEST,2023,2,30,Other tuber crop,use FAO,"Roots and Tubers, Total",39.4956625,37.8085,40.2901,0.7925749697527492,fao (imputed),BEETROOT-ROOT-HARVEST
