"eurostat_country_code","fao_area_code","Country_name","Climatic_zone1","Climatic_zone1_pct","Agreena_crop_english_name","Agreena_crop_ID","Agreena_crop_IDENTIFIER","Agreena_crop_year","Agreena_crop_methodology","coolfarm_id","coolfarm_name","es_crop_name","fao_crop_name","yield_avg","yield_min","yield_max","yield_sd","source","Agreena_crop_name"
"MA",203,"Morocco","Warm temperate dry",0.83,"Other root crops (only 2021)",18,"OTHER-ROOT-CROPS",NA,NA,29,"Other root crops","use FAO","Roots and Tubers, Total",31.8730875,29.796,33.8983,1.34284778249967,"fao (imputed)","OTHER-ROOT-CROPS"
"MA",203,"Morocco","Warm temperate dry",0.83,"Other tuber crop (only 2021)",19,"OTHER-TUBER-CROP",NA,NA,30,"Other tuber crop","use FAO","Roots and Tubers, Total",31.8730875,29.796,33.8983,1.34284778249967,"fao (imputed)","OTHER-TUBER-CROP"
"MA",203,"Morocco","Warm temperate dry",0.83,"Pea, Cow (forage harvest)",253,"PEA-COW-FORAGE-HARVEST",NA,NA,7,"Dry bean","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","PEA-COW-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Pea, Spring (forage harvest)",211,"PEA-SPRING-FORAGE-HARVEST",2023,2,7,"Dry bean","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","PEA-SPRING-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Pea, Spring (seed harvest)",212,"PEA-SPRING-SEED-HARVEST",2023,2,7,"Dry bean","Field peas","Peas, dry",1.465,1.1,1.95,0.348875745379764,"eurostat (imputed)","PEA-SPRING-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Pea, Winter (forage harvest)",213,"PEA-WINTER-FORAGE-HARVEST",2023,2,7,"Dry bean","Other leguminous plants harvested green n.e.c.","use eurostat",5.5225,3.24,6.73,1.25872668087352,"eurostat (imputed)","PEA-WINTER-FORAGE-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Pea, Winter (seed harvest)",214,"PEA-WINTER-SEED-HARVEST",2023,2,7,"Dry bean","Field peas","Peas, dry",1.465,1.1,1.95,0.348875745379764,"eurostat (imputed)","PEA-WINTER-SEED-HARVEST"
"MA",203,"Morocco","Warm temperate dry",0.83,"Peanut",20,"PEANUT",NA,NA,12,"Peanut","use FAO","Groundnuts, excluding shelled",3.0053,2.0968,3.606,0.494139604334067,"fao (imputed)","PEANUT"
"MA",203,"Morocco","Warm temperate dry",0.83,"Peas",134,"PEAS",2022,2,7,"Dry bean","Field peas","Peas, dry",1.465,1.1,1.95,0.348875745379764,"eurostat (imputed)","PEAS"
"MA",203,"Morocco","Warm temperate dry",0.83,"Pea, Chick (seed harvest)",173,"PEAS-CHICK-SEED-HARVEST",2023,2,7,"Dry bean","use FAO","Chick peas, dry",1.1276875,0.7222,1.5145,0.294761300219589,"fao (imputed)","PEAS-CHICK-SEED-HARVEST"
